"Tug-Of-War","Tug-Of-War Men's Tug-Of-War"
"Freestyle Skiing","Freestyle Skiing Women's Moguls"
"Athletics","Athletics Women's 1500 metres"
"Art Competitions","Art Competitions Mixed Architecture Architectural Designs"
"Rugby Sevens","Rugby Sevens Women's Rugby Sevens"
"Bobsleigh","Bobsleigh Women's Two"
"Shooting","Shooting Mixed Trap"
"Cycling","Cycling Men's Road Race Individual"
"Diving","Diving Women's Springboard"
"Boxing","Boxing Men's Light-Middleweight"
"Equestrianism","Equestrianism Mixed Dressage Individual"
"Equestrianism","Equestrianism Mixed Dressage Team"
"Cycling","Cycling Women's 500 metres Time Trial"
"Shooting","Shooting Women's Trap"
"Rowing","Rowing Men's 6-Man Naval Rowing Boats"
"Swimming","Swimming Men's 200 metres Backstroke"
"Badminton","Badminton Women's Singles"
"Beach Volleyball","Beach Volleyball Women's Beach Volleyball"
"Swimming","Swimming Women's 400 metres Individual Medley"
"Cycling","Cycling Men's 20 kilometres"
"Sailing","Sailing Mixed Skiff"
"Fencing","Fencing Women's epee Individual"
"Shooting","Shooting Men's Small-Bore Rifle Prone 50 and 100 yards"
"Rowing","Rowing Women's Coxless Fours"
"Diving","Diving Men's Synchronized Springboard"
"Swimming","Swimming Men's 100 metres Backstroke"
"Wrestling","Wrestling Men's Super-Heavyweight Greco-Roman"
"Sailing","Sailing Men's Two Person Dinghy"
"Tennis","Tennis Men's Doubles Covered Courts"
"Archery","Archery Men's Team"
"Rhythmic Gymnastics","Rhythmic Gymnastics Women's Individual"
"Judo","Judo Men's Half-Heavyweight"
"Art Competitions","Art Competitions Mixed Music"
"Cycling","Cycling Men's 100 kilometres"
"Synchronized Swimming","Synchronized Swimming Women's Duet"
"Taekwondo","Taekwondo Women's Heavyweight"
"Shooting","Shooting Mixed Small-Bore Rifle Three Positions 50 metres"
"Cycling","Cycling Men's 25 kilometres"
"Shooting","Shooting Women's Air Pistol 10 metres"
"Swimming","Swimming Men's 1500 metres Freestyle"
"Art Competitions","Art Competitions Mixed Painting Graphic Arts"
"Swimming","Swimming Men's 400 metres Individual Medley"
"Weightlifting","Weightlifting Women's Middleweight"
"Fencing","Fencing Women's Foil Individual"
"Art Competitions","Art Competitions Mixed Literature"
"Cross Country Skiing","Cross Country Skiing Women's 5/5 kilometres Pursuit"
"Cycling","Cycling Men's Team Sprint"
"Cycling","Cycling Men's Sprint"
"Swimming","Swimming Men's 200 metres Individual Medley"
"Athletics","Athletics Men's Standing Triple Jump"
"Swimming","Swimming Women's 200 metres Individual Medley"
"Biathlon","Biathlon Men's 12.5 kilometres Pursuit"
"Canoeing","Canoeing Men's Kayak Singles 200 metres"
"Speed Skating","Speed Skating Women's 5000 metres"
"Biathlon","Biathlon Women's 3 x 7.5 kilometres Relay"
"Athletics","Athletics Women's Heptathlon"
"Taekwondo","Taekwondo Men's Welterweight"
"Rowing","Rowing Women's Lightweight Double Sculls"
"Shooting","Shooting Mixed Running Target 50 metres"
"Cycling","Cycling Women's Points Race"
"Cross Country Skiing","Cross Country Skiing Women's 30 kilometres"
"Cross Country Skiing","Cross Country Skiing Women's 5/10 kilometres Pursuit"
"Cross Country Skiing","Cross Country Skiing Women's 15 kilometres"
"Swimming","Swimming Women's 200 metres Butterfly"
"Shooting","Shooting Men's Running Target Double Shot"
"Shooting","Shooting Men's Running Target Double Shot Team"
"Shooting","Shooting Men's Military Rifle 200/500/600/800/900/1000 Yards Team"
"Diving","Diving Women's Synchronized Platform"
"Sailing","Sailing Mixed 30 metres"
"Athletics","Athletics Women's 800 metres"
"Sailing","Sailing Mixed Two Person Dinghy"
"Athletics","Athletics Men's 4000 metres Steeplechase"
"Athletics","Athletics Men's 5000 metres Team"
"Judo","Judo Men's Heavyweight"
"Biathlon","Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay"
"Freestyle Skiing","Freestyle Skiing Men's Aerials"
"Judo","Judo Women's Extra-Lightweight"
"Rowing","Rowing Men's Coxed Pairs (1 mile)"
"Freestyle Skiing","Freestyle Skiing Women's Ski Cross"
"Equestrianism","Equestrianism Men's Jumping Individual"
"Swimming","Swimming Men's 200 metres Team Swimming"
"Sailing","Sailing Mixed 12 foot"
"Shooting","Shooting Women's Small-Bore Rifle Three Positions 50 metres"
"Art Competitions","Art Competitions Mixed Music Vocals"
"Athletics","Athletics Men's Pentathlon"
"Alpine Skiing","Alpine Skiing Women's Downhill"
"Athletics","Athletics Women's Pentathlon"
"Gymnastics","Gymnastics Women's Balance Beam"
"Sailing","Sailing Mixed 10-20 Ton"
"Cycling","Cycling Men's 1/4 mile"
"Cycling","Cycling Men's 1/3 mile"
"Cycling","Cycling Men's 1/2 mile"
"Cycling","Cycling Men's 1 mile"
"Shooting","Shooting Women's Air Rifle 10 metres"
"Art Competitions","Art Competitions Mixed Literature Lyric Works"
"Cross Country Skiing","Cross Country Skiing Women's Sprint"
"Cross Country Skiing","Cross Country Skiing Women's 15 km Skiathlon"
"Biathlon","Biathlon Men's 15 kilometres Mass Start"
"Athletics","Athletics Women's 200 metres"
"Canoeing","Canoeing Men's Folding Kayak Doubles 10 kilometres"
"Art Competitions","Art Competitions Mixed Painting Drawings And Water Colors"
"Snowboarding","Snowboarding Women's Parallel Giant Slalom"
"Sailing","Sailing Mixed 2-3 Ton"
"Weightlifting","Weightlifting Men's Heavyweight I"
"Athletics","Athletics Women's 80 metres Hurdles"
"Judo","Judo Women's Lightweight"
"Cycling","Cycling Women's Mountainbike Cross-Country"
"Swimming","Swimming Women's 300 metres Freestyle"
"Snowboarding","Snowboarding Women's Halfpipe"
"Art Competitions","Art Competitions Mixed Sculpturing Statues"
"Shooting","Shooting Men's Military Rifle Prone 600 metres Team"
"Shooting","Shooting Men's Free Rifle 1000 Yards"
"Cycling","Cycling Men's Individual Time Trial"
"Gymnastics","Gymnastics Men's Parallel Bars Teams"
"Gymnastics","Gymnastics Men's Horizontal Bar Teams"
"Athletics","Athletics Men's 1600 metres Medley Relay"
"Sailing","Sailing Mixed Windsurfer"
"Canoeing","Canoeing Men's Canadian Doubles 1000 metres"
"Shooting","Shooting Men's Small-Bore Rifle Disappearing Target 25 metres Team"
"Shooting","Shooting Men's Running Target Single Shot"
"Table Tennis","Table Tennis Men's Team"
"Equestrianism","Equestrianism Men's Dressage Individual"
"Athletics","Athletics Men's 1500 metres Walk"
"Athletics","Athletics Men's 3 mile Team"
"Luge","Luge Men's Singles"
"Judo","Judo Men's Open Class"
"Speed Skating","Speed Skating Men's 1000 metres"
"Cycling","Cycling Men's 1000 metres Time Trial"
"Canoeing","Canoeing Men's Canadian Doubles 10000 metres"
"Equestrianism","Equestrianism Men's Vaulting Individual"
"Equestrianism","Equestrianism Men's Vaulting Team"
"Diving","Diving Men's Synchronized Platform"
"Freestyle Skiing","Freestyle Skiing Men's Ski Cross"
"Freestyle Skiing","Freestyle Skiing Women's Halfpipe"
"Swimming","Swimming Men's 100 Yard Backstroke"
"Swimming","Swimming Men's 440 Yard Breaststroke"
"Shooting","Shooting Men's Military Pistol 30 metres"
"Gymnastics","Gymnastics Men's Individual All-Around 5 Events"
"Freestyle Skiing","Freestyle Skiing Women's Aerials"
"Cross Country Skiing","Cross Country Skiing Men's 18 kilometres"
"Art Competitions","Art Competitions Mixed Music Compositions For Orchestra"
"Nordic Combined","Nordic Combined Men's Individual"
"Archery","Archery Men's Double York Round"
"Art Competitions","Art Competitions Mixed Painting"
"Roque","Roque Men's Singles"
"Shooting","Shooting Men's Military Rifle Standing 300 metres Team"
"Triathlon","Triathlon Men's Olympic Distance"
"Alpinism","Alpinism Mixed Alpinism"
"Swimming","Swimming Men's 100 metres Breaststroke"
"Archery","Archery Men's Target Archery 33 metres Individual"
"Archery","Archery Men's Target Archery 50 metres Individual"
"Rowing","Rowing Men's Coxed Pairs (1 kilometres)"
"Cycling","Cycling Men's Points Race"
"Archery","Archery Men's Double American Round"
"Archery","Archery Men's Team Round"
"Shooting","Shooting Mixed Skeet"
"Alpine Skiing","Alpine Skiing Women's Slalom"
"Equestrianism","Equestrianism Men's Three-Day Event Individual"
"Canoeing","Canoeing Men's Canadian Singles 500 metres"
"Canoeing","Canoeing Men's Canadian Singles 10000 metres"
"Wrestling","Wrestling Women's Heavyweight Freestyle"
"Sailing","Sailing Men's Skiff"
"Trampolining","Trampolining Men's Individual"
"Shooting","Shooting Men's Small-Bore Rifle Any Position 50 metres"
"Archery","Archery Men's Continental Style"
"Golf","Golf Men's Team"
"Sailing","Sailing Mixed 0-0.5 Ton"
"Sailing","Sailing Mixed 20+ Ton"
"Weightlifting","Weightlifting Men's Unlimited One Hand"
"Weightlifting","Weightlifting Women's Heavyweight"
"Tennis","Tennis Men's Singles Covered Courts"
"Shooting","Shooting Men's Dueling Pistol 30 metres Team"
"Shooting","Shooting Men's Small-Bore Rifle Prone 50 metres Team"
"Shooting","Shooting Men's Dueling Pistol Au Commandement 25 metres"
"Shooting","Shooting Men's Small-Bore Rifle Disappearing Target 25 metres"
"Sailing","Sailing Mixed 6.5 metres"
"Canoeing","Canoeing Women's Kayak Singles 200 metres"
"Fencing","Fencing Men's Sabre Individual Three Hits"
"Athletics","Athletics Men's 200 metres Hurdles"
"Cycling","Cycling Men's Omnium"
"Alpine Skiing","Alpine Skiing Women's Super G"
"Athletics","Athletics Women's 3000 metres"
"Athletics","Athletics Men's 2500 metres Steeplechase"
"Cycling","Cycling Women's BMX"
"Canoeing","Canoeing Men's Canadian Singles 200 metres"
"Table Tennis","Table Tennis Women's Singles"
"Table Tennis","Table Tennis Women's Doubles"
"Weightlifting","Weightlifting Women's Lightweight"
"Athletics","Athletics Women's 10 kilometres Walk"
"Weightlifting","Weightlifting Women's Featherweight"
"Short Track Speed Skating","Short Track Speed Skating Women's 1500 metres"
"Freestyle Skiing","Freestyle Skiing Men's Slopestyle"
"Taekwondo","Taekwondo Men's Flyweight"
"Wrestling","Wrestling Women's Flyweight Freestyle"
"Weightlifting","Weightlifting Men's Flyweight"
"Archery","Archery Men's Pole Archery Large Birds Individual"
"Archery","Archery Men's Pole Archery Small Birds Team"
"Archery","Archery Men's Pole Archery Large Birds Team"
"Trampolining","Trampolining Women's Individual"
"Weightlifting","Weightlifting Women's Light-Heavyweight"
"Shooting","Shooting Men's Military Rifle Any Position 600 metres"
"Art Competitions","Art Competitions Mixed Sculpturing"
"Fencing","Fencing Men's Sabre Masters Individual"
"Archery","Archery Women's Double Columbia Round"
"Archery","Archery Women's Double National Round"
"Skeleton","Skeleton Women's Skeleton"
"Athletics","Athletics Men's 4 mile Team"
"Alpine Skiing","Alpine Skiing Women's Combined"
"Canoeing","Canoeing Men's Kayak Doubles 200 metres"
"Athletics","Athletics Women's Hammer Throw"
"Cycling","Cycling Men's 333 metres Time Trial"
"Figure Skating","Figure Skating Men's Special Figures"
"Sailing","Sailing Mixed Open"
"Wrestling","Wrestling Men's Light-Flyweight Freestyle"
"Athletics","Athletics Men's 5 mile"
"Athletics","Athletics Men's 2590 metres Steeplechase"
"Table Tennis","Table Tennis Women's Team"
"Swimming","Swimming Men's 50 yard Freestyle"
"Swimming","Swimming Men's 100 yard Freestyle"
"Swimming","Swimming Men's 220 yard Freestyle"
"Swimming","Swimming Men's 440 yard Freestyle"
"Swimming","Swimming Men's 4 x 50 Yard Freestyle Relay"
"Cross Country Skiing","Cross Country Skiing Men's Sprint"
"Swimming","Swimming Men's 10 kilometres Open Water"
"Cycling","Cycling Men's BMX"
"Basque Pelota","Basque Pelota Men's Two-Man Teams With Cesta"
"Shooting","Shooting Men's Military Revolver 1873-1874 Gras Model 20 metres"
"Shooting","Shooting Men's Military Rifle Kneeling Or Standing 300 metres"
"Art Competitions","Art Competitions Mixed Literature Dramatic Works"
"Snowboarding","Snowboarding Men's Boardercross"
"Equestrianism","Equestrianism Mixed Four-In-Hand Competition"
"Equestrianism","Equestrianism Mixed Long Jump"
"Nordic Combined","Nordic Combined Men's Large Hill / 10 km Individual"
"Athletics","Athletics Men's 56-pound Weight Throw"
"Swimming","Swimming Men's Underwater Swimming"
"Athletics","Athletics Women's Triple Jump"
"Cycling","Cycling Women's Omnium"
"Art Competitions","Art Competitions Mixed Painting Applied Arts"
"Weightlifting","Weightlifting Women's Super-Heavyweight"
"Biathlon","Biathlon Women's 12.5 kilometres Mass Start"
"Shooting","Shooting Mixed Free Pistol 50 metres"
"Shooting","Shooting Men's Military Pistol 25 metres"
"Athletics","Athletics Men's Stone Throw"
"Athletics","Athletics Men's Javelin Throw Freestyle"
"Wrestling","Wrestling Women's Light-Heavyweight Freestyle"
"Cycling","Cycling Men's 2 mile"
"Athletics","Athletics Women's Pole Vault"
"Swimming","Swimming Men's 100 metres Freestyle For Sailors"
"Archery","Archery Men's Sur La Perche a La Herse"
"Badminton","Badminton Women's Doubles"
"Sailing","Sailing Mixed 3-10 Ton"
"Snowboarding","Snowboarding Women's Parallel Slalom"
"Art Competitions","Art Competitions Mixed Sculpturing Medals"
"Canoeing","Canoeing Men's Folding Kayak Singles 10 kilometres"
"Golf","Golf Men's Individual"
"Art Competitions","Art Competitions Mixed Literature Epic Works"
"Athletics","Athletics Men's 3200 metres Steeplechase"
"Art Competitions","Art Competitions Mixed Painting Paintings"
"Sailing","Sailing Men's Two Person Keelboat"
"Weightlifting","Weightlifting Men's Unlimited Two Hands"
"Gymnastics","Gymnastics Men's Individual All-Around Field Sports"
"Taekwondo","Taekwondo Women's Welterweight"
"Gymnastics","Gymnastics Men's Club Swinging"
"Shooting","Shooting Men's Military Rifle Prone 600 metres"
"Shooting","Shooting Men's Small Bore-Rifle Standing 50 metres Team"
"Gymnastics","Gymnastics Men's Individual All-Around 4 Events"
"Gymnastics","Gymnastics Men's Side Horse"
"Shooting","Shooting Mixed Rapid-Fire Pistol 25 metres"
"Short Track Speed Skating","Short Track Speed Skating Women's 1000 metres"
"Shooting","Shooting Men's Small-Bore Rifle Standing 50 metres"
"Motorboating","Motorboating Mixed B-Class (Under 60 Feet)"
"Motorboating","Motorboating Mixed C-Class"
"Shooting","Shooting Men's Military Rifle Prone 300 metres Team"
"Shooting","Shooting Men's Free Rifle Prone 600 metres"
"Archery","Archery Men's Au Cordon Dore 50 metres"
"Cycling","Cycling Men's 10000 metres"
"Shooting","Shooting Men's Small-Bore Rifle Moving Target 25 yards"
"Art Competitions","Art Competitions Mixed Sculpturing Reliefs"
"Short Track Speed Skating","Short Track Speed Skating Women's 500 metres"
"Boxing","Boxing Women's Middleweight"
"Snowboarding","Snowboarding Men's Halfpipe"
"Shooting","Shooting Men's Free Pistol 30 metres"
"Shooting","Shooting Men's Muzzle-Loading Pistol 25 metres"
"Canoeing","Canoeing Men's Kayak Singles 10000 metres"
"Nordic Combined","Nordic Combined Men's Normal Hill / 10 km Individual"
"Athletics","Athletics Men's 3000 metres Walk"
"Swimming","Swimming Men's 880 yard Freestyle"
"Swimming","Swimming Men's One Mile Freestyle"
"Shooting","Shooting Women's Double Trap"
"Equestrianism","Equestrianism Mixed High Jump"
"Table Tennis","Table Tennis Men's Singles"
"Art Competitions","Art Competitions Mixed Music Compositions For Solo Or Chorus"
"Athletics","Athletics Men's Discus Throw Greek Style"
"Archery","Archery Men's Sur La Perche a La Pyramide"
"Cycling","Cycling Women's Team Sprint"
"Athletics","Athletics Women's 20 kilometres Walk"
"Shooting","Shooting Men's Free Pistol 50 yards"
"Jeu De Paume","Jeu De Paume Men's Singles"
"Sailing","Sailing Women's Skiff"
"Fencing","Fencing Men's Single Sticks Individual"
"Art Competitions","Art Competitions Mixed Sculpturing Medals And Reliefs"
"Art Competitions","Art Competitions Mixed Sculpturing Medals And Plaques"
"Gymnastics","Gymnastics Men's Tumbling"
"Athletics","Athletics Men's All-Around Championship"
"Cycling","Cycling Women's Keirin"
"Athletics","Athletics Men's 60 metres"
"Art Competitions","Art Competitions Mixed Architecture"
"Canoeing","Canoeing Men's Kayak Relay 4 x 500 metres"
"Archery","Archery Men's Au Chapelet 50 metres"
"Art Competitions","Art Competitions Mixed Architecture Designs For Town Planning"
"Archery","Archery Men's Pole Archery Small Birds Individual"
"Archery","Archery Men's Championnat Du Monde"
"Freestyle Skiing","Freestyle Skiing Women's Slopestyle"
"Archery","Archery Women's Team Round"
"Wrestling","Wrestling Women's Middleweight Freestyle"
"Ski Jumping","Ski Jumping Women's Normal Hill Individual"
"Fencing","Fencing Women's Sabre Individual"
"Cross Country Skiing","Cross Country Skiing Women's 20 kilometres"
"Swimming","Swimming Men's 1000 metres Freestyle"
"Swimming","Swimming Men's 4000 metres Freestyle"
"Wrestling","Wrestling Men's All-Around Greco-Roman"
"Shooting","Shooting Men's Military Rifle Prone 300 metres"
"Shooting","Shooting Men's Military Rifle 200 metres"
"Snowboarding","Snowboarding Men's Parallel Slalom"
"Cycling","Cycling Men's 12-Hours Race"
"Shooting","Shooting Men's Free Rifle Kneeling 300 metres"
"Swimming","Swimming Men's 200 metres Obstacle Course"
"Athletics","Athletics Men's 3500 metres Walk"
"Snowboarding","Snowboarding Men's Giant Slalom"
"Swimming","Swimming Men's 500 metres Freestyle"
"Wrestling","Wrestling Men's Unlimited Class Greco-Roman"
"Fencing","Fencing Men's Foil Masters Individual"
"Snowboarding","Snowboarding Women's Giant Slalom"
"Snowboarding","Snowboarding Men's Slopestyle"
"Weightlifting","Weightlifting Men's All-Around Dumbbell Contest"
"Shooting","Shooting Men's Dueling Pistol 30 metres"
"Athletics","Athletics Men's 10 mile Walk"
"Speed Skating","Speed Skating Men's Allround"
"Shooting","Shooting Men's Running Target Single And Double Shot"
"Art Competitions","Art Competitions Mixed Music Instrumental And Chamber"
"Shooting","Shooting Men's Free Pistol 25 metres"
"Shooting","Shooting Men's Dueling Pistol Au Vise 20 metres"
"Athletics","Athletics Men's Pentathlon (Ancient)"
"Gymnastics","Gymnastics Men's Individual All-Around Apparatus Work"
"Shooting","Shooting Men's Free Rifle Standing 300 metres"
"Shooting","Shooting Men's Military Rifle Standing 300 metres"
"Athletics","Athletics Men's Discus Throw Both Hands"
"Wrestling","Wrestling Women's Featherweight Freestyle"
"Athletics","Athletics Men's Shot Put Both Hands"
"Shooting","Shooting Men's Trap Single Shot 16 metres"
"Shooting","Shooting Men's Trap Double Shot 14 metres"
"Shooting","Shooting Men's Free Rifle Any Position 300 metres"
"Shooting","Shooting Men's Military Rifle 1873-1874 Gras Model Kneeling Or Standing 200 metres"
"Shooting","Shooting Men's Free Rifle Prone 300 metres"
"Shooting","Shooting Men's Military Rifle Three Positions 300 metres"
"Athletics","Athletics Men's Javelin Throw Both Hands"
"Archery","Archery Men's Au Chapelet 33 metres"
"Archery","Archery Men's Au Cordon Dore 33 metres"
"Archery","Archery Men's Target Archery 28 metres Individual"
"Shooting","Shooting Men's Military Revolver 20 metres"
"Freestyle Skiing","Freestyle Skiing Men's Halfpipe"
"Croquet","Croquet Mixed Singles Two Balls"
"Aeronautics","Aeronautics Mixed Aeronautics"
"Motorboating","Motorboating Mixed A-Class (Open)"
